Q	iVar	cType	cWidth
3248.95	1	0	0
8061.77	1	0	0
6106.07	1	0	0
3286	1	0	0
4045.12	1	0	0
4482.02	1	0	0
5692.06	1	0	0
4975	1	0	0
5660.72	1	0	0
3601.94	1	0	0
2959.37	1	0	0
7631.44	1	0	0
5305.57	1	0	0
2894.73	1	0	0
5049.33	1	0	0
9275.56	1	0	0
5214.62	1	0	0
8515.77	1	0	0
9286.64	1	0	0
7719.75	1	0	0
8295.44	1	0	0
6260.13	1	0	0
4889.48	1	0	0
4802.4	1	0	0
5579.66	1	0	0
9498.17	1	0	0
6018.95	1	0	0
6195.42	1	0	0
6227.74	1	0	0
9809.36	1	0	0
7007.76	1	0	0
6754.58	1	0	0
6872.24	1	0	0
5595.1	1	0	0
4947.92	1	0	0
6538.35	1	0	0
9324.95	1	0	0
4433.05	1	0	0
4933.28	1	0	0
9692.18	1	0	0
4672.15	1	0	0
5065	1	0	0
6654.45	1	0	0
7880.41	1	0	0
5610.13	1	0	0
6114.74	1	0	0
8296.08	1	0	0
6406.72	1	0	0
8720.64	1	0	0
4917.88	1	0	0
2273.37	1	0	0
5891.68	1	0	0
7543.8	1	0	0
8186.79	1	0	0
6804.99	1	0	0
7952.06	1	0	0
5891.68	1	0	0
7809.03	1	0	0
3515.92	1	0	0
6838.64	1	0	0
6505.33	1	0	0
6488.85	1	0	0
7862.54	1	0	0
5035.42	1	0	0
10445.46	1	0	0
8446.24	1	0	0
6857.32	1	0	0
4931.77	1	0	0
5395.23	1	0	0
6342.54	1	0	0
6722.85	1	0	0
5750.62	1	0	0
5813.41	1	0	0
7441.26	1	0	0
5487	1	0	0
4714.03	1	0	0
5860.7	1	0	0
7319.4	1	0	0
5533.13	1	0	0
5971.68	1	0	0
10031.8	1	0	0
5038.03	1	0	0
5458.1	1	0	0
7736.2	1	0	0
7860.64	1	0	0
5630.18	1	0	0
6135.57	1	0	0
8411.54	1	0	0
6692.75	1	0	0
8374.83	1	0	0
4562.52	1	0	0
4436.01	1	0	0
7885.8	1	0	0
6120.12	1	0	0
4999.93	1	0	0
5387.56	1	0	0
4115.14	1	0	0
4760	1	0	0
4995	1	0	0
5510	1	0	0
5612.54	1	0	0
6028.62	1	0	0
5239.55	1	0	0
3971.11	1	0	0
3473.65	1	0	0
8336.72	1	0	0
7620.9	1	0	0
7415.91	1	0	0
6607.07	1	0	0
4615.29	1	0	0
6097.46	1	0	0
7556.23	1	0	0
6664.66	1	0	0
5474.86	1	0	0
4625.31	1	0	0
6757.21	1	0	0
6458.23	1	0	0
6757.21	1	0	0
5304.77	1	0	0
5389.56	1	0	0
5115.91	1	0	0
5668.67	1	0	0
8954.32	1	0	0
9960.16	1	0	0
6766.18	1	0	0
8442.58	1	0	0
7764.31	1	0	0
4463.8	1	0	0
6206.79	1	0	0
7094.13	1	0	0
6894.3	1	0	0
9788.32	1	0	0
11641	1	0	0
5708.47	1	0	0
4164.7	1	0	0
5470.29	1	0	0
4073.29	1	0	0
6907.37	1	0	0
6686.48	1	0	0
6264.91	1	0	0
7238.51	1	0	0
5272.49	1	0	0
7179.05	1	0	0
7577.68	1	0	0
4435.84	1	0	0
8606.21	1	0	0
4519.04	1	0	0
6090.19	1	0	0
7219.54	1	0	0
4263.67	1	0	0
